Name,Price,Ratings,CPU,Storage
Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX ,68980,4.0,Intel Core i5 12th Gen,512 GB
Acer NITRO LITE 16 Intel Core i5 13th Gen 13420H ,59990,4.4,Intel Core i5 13th Gen,512 GB
HP Victus AMD Ryzen 7 Octa Core 260 ,99990,4.5,AMD Ryzen 7 Octa Core,1 TB
Acer NITRO V 16S Intel Core 5 ,94990,4.8,Intel Core 5,512 GB
Lenovo Legion Pro 5 AMD Ryzen 9 16 Core 9955HX ,235490,4.8,AMD Ryzen 9 16 Core,1 TB
DELL G15 Intel Core i5 13th Gen 13450HX ,79990,4.2,Intel Core i5 13th Gen,1 TB
MSI Thin 15 Intel Core i5 12th Gen 12450H ,58699,4.3,Intel Core i5 12th Gen,512 GB
Lenovo LOQ Intel Core i5 13th Gen 13450HX ,92990,4.5,Intel Core i5 13th Gen,512 GB
Lenovo LOQ 2025 AMD Ryzen 7 Octa Core 250 ,115990,4.3,AMD Ryzen 7 Octa Core,1 TB
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H ,62990,4.4,AMD Ryzen 5 Hexa Core,512 GB
HP Victus AMD Ryzen 7 Hexa Core 7445HS ,81990,4.3,AMD Ryzen 7 Hexa Core,512 GB
Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX ,135891,4.1,Intel Core i7 14th Gen,1 TB
HP Victus Intel Core i5 14th Gen 14450HX ,89990,4.3,Intel Core i5 14th Gen,512 GB
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX ,118990,4.4,Intel Core i7 13th Gen,1 TB
Lenovo Legion 5 AMD Ryzen 7 Octa Core 260 ,175490,4.4,AMD Ryzen 7 Octa Core,1 TB
