Name,Price,Ratings,CPU,Storage,value_score
MSI Thin 15 Intel Core i5 12th Gen 12450H ,58699,4.3,Intel Core i5 12th Gen,512 GB,7.325508100649074e-05
HP Victus AMD Ryzen 7 Hexa Core 7445HS ,62990,4.4,AMD Ryzen 7 Hexa Core,512 GB,6.985235751706621e-05
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H ,62990,4.4,AMD Ryzen 5 Hexa Core,512 GB,6.985235751706621e-05
MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS ,62990,4.3,AMD Ryzen 5 Hexa Core,512 GB,6.826480393713287e-05
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS ,71290,4.3,AMD Ryzen 7 Octa Core,512 GB,6.0317015009117686e-05
Acer Nitro V 15 Intel Core 5 210H ,79990,4.5,Intel Core 5,512 GB,5.625703212901613e-05
HP Victus AMD Ryzen 7 Hexa Core 7445HS ,81990,4.3,AMD Ryzen 7 Hexa Core,512 GB,5.244542017319185e-05
DELL G15,79990,4.1,Intel Core i5 13th Gen,512 GB,5.1256407050881356e-05
Acer NITRO V 16S Intel Core 5 ,94990,4.8,Intel Core 5,512 GB,5.053163490893778e-05
Lenovo LOQ Intel Core i5 13th Gen 13450HX ,92990,4.5,Intel Core i5 13th Gen,512 GB,4.8392300247338426e-05
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX ,118990,4.4,Intel Core i7 13th Gen,1 TB,3.697789730229431e-05
HP OMEN Intel Core i7 14th Gen 14650HX ,117000,4.1,Intel Core i7 14th Gen,1 TB,3.504273504273504e-05
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX ,148990,4.5,Intel Core i7 13th Gen,1 TB,3.0203369353647895e-05
Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX ,135891,4.1,Intel Core i7 14th Gen,1 TB,3.0171240185148388e-05
Lenovo Legion 5 AMD Ryzen 7 Octa Core 260 ,175490,4.4,AMD Ryzen 7 Octa Core,1 TB,2.507265371246225e-05
Lenovo Legion Pro 5 AMD Ryzen 9 16 Core 9955HX ,235490,4.8,AMD Ryzen 9 16 Core,1 TB,2.0383031126587115e-05
